Category,Number,Label,Question
Plan and design,18,Stakeholders,"There is a process to identify others within the organisation who have an interest in the project, such as communications colleagues and senior managers."
"Collect or acquire, and ingest",19,Access,"Teams can easily get access to data from third party suppliers and contracts require suppliers to ensure data schemas are open and data is accessible. There are clear processes and approaches followed for the collection and ingestion of data which adhere to industry recognised design patterns and standards, where appropriate."
"Collect or acquire, and ingest",20,Knowledge,"There is detailed knowledge of data held by the organisation, as well as relevant data available externally, for example, through the LG Inform Plus Application Programming Interface (API)."
"Collect or acquire, and ingest",21,Catalogues,"The organisation's data is catalogued, findable and has up-to-date supporting documentation (including metadata). There is a well-used central data catalogue, as well as good service specific catalogues, and there is comprehensive awareness of where data is stored and can be accessed."
"Collect or acquire, and ingest",22,Minimisation,New data collections or acquisitions are only considered if they are identified as necessary. There is on-going work to reduce duplication of organisationally important data sets and to ensure data minimisation.
"Prepare, store and maintain",23,Quality,The wider organisation can rely on getting access to trustworthy data easily and in a timely manner. There is a drive to continuously improve data quality and for updating data on a reliable schedule. 
"Prepare, store and maintain",24,Integration,"Data can be easily integrated and is linked according to recognised approaches, standards and schema. Analyses are undertaken on frequently updated data extracts rather than live data from systems."
"Prepare, store and maintain",25,Understanding,Specialists within the organisation understand data flows across the organisation's systems and processes and these relationships are mapped.
"Prepare, store and maintain",26,Skills,There is no recognition of the need for specialist skills and resources to prepare data for use by others.
Use and process,27,Use,Teams across the organisation use timely data to make day-to-day decisions and deliver outcomes based on insights. Teams and councillors get the insights they need through easy to use tools and appropriate analytical support.
Use and process,28,Approaches,"As well as using descriptive, diagnostic and predictive analytics, the organisation has begun to think about  identifying use cases for automated recommendations (for example identifying parking infringements or likelihood of receiving planning consent)."
Use and process,29,Data science,Data science techniques and tools are not being used. Projects are delivered on an individual basis and there is no re-use of approaches.
Share and publish,30,Sharing,"There is routine sharing of relevant data with other public sector partners, not only for statutory purposes, but to inform joined up strategic planning and the coordination of service delivery, for example sharing with local health organisations."
Share and publish,31,Open data,Open data is published to the highest standard and the council has an open data portal or data observatory. This published data is made use of by internal teams and partners and recognised as the most up-to-date data.
Share and publish,32,Audiences,"Data and insights are made accessible to non-technical audiences such as residents and businesses, and products for these audiences are developed on the basis of user research and testing. "
Archive and destroy,33,Policies,There are no defined policies around archiving and destroying data that ensure data is handled according to regulatory and legal requirements.
Systems and tools,34,Infrastructure,"The organisation has a scalable and flexible data infrastructure which supports all stages of the data lifecycle and encompasses the whole organisation. Data systems are joined up within the organisation and allow for the routine sharing of data with other organisations, for example through APIs. Data can be moved from one system to another with no vendor lock-in."
Systems and tools,35,Collaboration,"Data owners and the IT department are not involved in the specification, design and implementation of data systems. Data scientists have no access to the tools that they need and there is no suite of tools to support deriving insights from data."
Systems and tools,36,Procurement,"Data needs are not considered at the point of procurement of systems and data standards are not taken into consideration, making it difficult for data to be accessed."
Systems and tools,37,Security,"Data is securely stored and backed up regularly, and there is a system in place to ensure the accuracy and reliability of data."
Skills and capability,38,Staffing,"The organisation has highly data-literate staff and has access to the appropriate level of skills. The organisation has in-house data specialist roles such as data architects and data engineers. The organisation has documented promotion pathways, and recruitment and retention plans for technical and non-technical data staff."
Skills and capability,39,Skills needs,There is no understanding of the types of data skills needed in the organisation and there has been no assessment of the current organisational capability.
Skills and capability,40,Training,"There is a comprehensive staff training and development scheme for all staff to build their data literacy, including for councillors. There are training policies to keep analytical and data staff up-to-date with evolving tools and techniques."
Governance and compliance,41,Compliance,The organisation is compliant in relation to all of its statutory data governance responsibilities (such as GDPR) and this is continuously monitored. Data is held securely and safely. There is a culture of anticipation and mitigation in terms of risks and cyber security issues. Where there are breaches there is a no-blame approach and the organisation seeks to learn from any mistakes and vulnerabilities.
Governance and compliance,42,Governance,There are no formal data and information governance groups nor any clear policy or guidance.
Governance and compliance,43,Engagement,"The organisation has mature arrangements for engaging members of the public and businesses about its use of their data, for example, through public participation in development of a data charter."
Governance and compliance,44,Privacy,There is no consideration about privacy in the development of data products and services. There have been recent data breaches or there is a perceived risk of data breaches.
Governance and compliance,45,Ethics,"Data ethics is considered routinely in project development and data sharing, and there is clear guidance on how to do so based on recognised approaches. When the organisation employs automated approaches and machine learning, an assessment is performed in accordance with the Algorithmic Transparency Recording Standard. These considerations are extended comprehensively to third party suppliers."
